,ASEAN_Indonesia_Index,ASEAN_Thailand_Index,ASEAN_Malaysia_Index,ASEAN_Philippines_Index,ASEAN_Singapore_Index,Global_S&P500_Index,Global_NASDAQ_Index,Global_DOW_Index,Global_FTSE_Index,Global_DAX_Index,Global_CAC40_Index,Global_NIKKEI_Index,Global_HSI_Index,Global_CSI300_Index,Global_KOSPI_Index,Global_ASX200_Index,Global_SENSEX_Index
ASEAN_Indonesia_Index,1.0,0.37806456971055047,0.40218032201527437,0.4146752906097168,0.4153137767985336,0.2023865515794127,0.16655185778959183,0.2092589831816004,0.25445417330085096,0.232501918735236,0.25707359958662895,0.2539760285484569,0.300902303832005,0.08547369948778184,0.3902034148393838,0.3140967728571576,0.3910001883640679
ASEAN_Thailand_Index,0.37806456971055047,1.0,0.4141722902601173,0.3480837030221396,0.5126995095281526,0.25863464550364984,0.21944938669017366,0.2646732906223784,0.40968832954450946,0.3975173306273498,0.41596977330244406,0.30099080457029537,0.40841143523030343,0.214838419159392,0.42441671753150906,0.3572422492942098,0.515754058702933
ASEAN_Malaysia_Index,0.40218032201527437,0.4141722902601173,1.0,0.3995049989850321,0.46771820473613085,0.13054544932283574,0.11126656544575729,0.13710032650790405,0.2602412094695797,0.2588717619445804,0.2693147998128053,0.36206711766173766,0.3725853301245047,0.13724862350701092,0.46062647867570994,0.3269674771264445,0.37126179431799583
ASEAN_Philippines_Index,0.4146752906097168,0.3480837030221396,0.3995049989850321,1.0,0.37684532352677197,0.1338708994343948,0.09125830482965601,0.14690175586450546,0.22319882519756507,0.1787467754139652,0.20316239451109322,0.26415410944951073,0.2952894099064724,0.09575447067989977,0.3770176281816262,0.34290927024064416,0.32590027948805805
ASEAN_Singapore_Index,0.4153137767985336,0.5126995095281526,0.46771820473613085,0.37684532352677197,1.0,0.26195234862282885,0.21208598399189432,0.28123738769919315,0.4341255799885735,0.4098311991521268,0.4298340387821165,0.45818979242125074,0.534628194534255,0.20376430466598353,0.5591304677102942,0.49370651531959026,0.5012454843564801
Global_S&P500_Index,0.2023865515794127,0.25863464550364984,0.13054544932283574,0.1338708994343948,0.26195234862282885,1.0,0.9467552763384435,0.9544647412964441,0.5286368656115571,0.5634480634855974,0.5602474048102022,0.20472655900879905,0.19642521805795532,0.06080283267589161,0.2207363444650138,0.31159792883377446,0.2909312838904129
Global_NASDAQ_Index,0.16655185778959183,0.21944938669017366,0.11126656544575729,0.09125830482965601,0.21208598399189432,0.9467552763384435,1.0,0.8375300542685731,0.43287444779578965,0.5051794156859756,0.4862768038900851,0.17712740121933102,0.19967323362319228,0.08276750921580074,0.18792569232277928,0.2590689379865038,0.24175058263185759
Global_DOW_Index,0.2092589831816004,0.2646732906223784,0.13710032650790405,0.14690175586450546,0.28123738769919315,0.9544647412964441,0.8375300542685731,1.0,0.5631912731534121,0.5735931473624483,0.5804123202661252,0.21254459240862364,0.18548017702012584,0.01943751196783179,0.22914104342028715,0.3280481930282084,0.2944247277478156
Global_FTSE_Index,0.25445417330085096,0.40968832954450946,0.2602412094695797,0.22319882519756507,0.4341255799885735,0.5286368656115571,0.43287444779578965,0.5631912731534121,1.0,0.8097133361603128,0.8467685770834331,0.3129597210516742,0.35828902556082226,0.12116057754676987,0.34562132976836246,0.40649793050499894,0.43603326066852877
Global_DAX_Index,0.232501918735236,0.3975173306273498,0.2588717619445804,0.1787467754139652,0.4098311991521268,0.5634480634855974,0.5051794156859756,0.5735931473624483,0.8097133361603128,1.0,0.9318380790916176,0.3066033880229963,0.33003261375936327,0.11354610982262597,0.3276437895851367,0.3438399272120737,0.4265699132701407
Global_CAC40_Index,0.25707359958662895,0.41596977330244406,0.2693147998128053,0.20316239451109322,0.4298340387821165,0.5602474048102022,0.4862768038900851,0.5804123202661252,0.8467685770834331,0.9318380790916176,1.0,0.32199033392236553,0.3535305306665361,0.11585039537163934,0.34028709782923267,0.36609912662606914,0.44682794371294415
Global_NIKKEI_Index,0.2539760285484569,0.30099080457029537,0.36206711766173766,0.26415410944951073,0.45818979242125074,0.20472655900879905,0.17712740121933102,0.21254459240862364,0.3129597210516742,0.3066033880229963,0.32199033392236553,1.0,0.39753344178191985,0.1563938758441063,0.5762004555188153,0.48818336487242353,0.3354685753277578
Global_HSI_Index,0.300902303832005,0.40841143523030343,0.3725853301245047,0.2952894099064724,0.534628194534255,0.19642521805795532,0.19967323362319228,0.18548017702012584,0.35828902556082226,0.33003261375936327,0.3535305306665361,0.39753344178191985,1.0,0.581631500060426,0.5298195898171246,0.39641882627198954,0.3842303590812308
Global_CSI300_Index,0.08547369948778184,0.214838419159392,0.13724862350701092,0.09575447067989977,0.20376430466598353,0.06080283267589161,0.08276750921580074,0.01943751196783179,0.12116057754676987,0.11354610982262597,0.11585039537163934,0.1563938758441063,0.581631500060426,1.0,0.24206739049875114,0.1904285807093959,0.12293208031403074
Global_KOSPI_Index,0.3902034148393838,0.42441671753150906,0.46062647867570994,0.3770176281816262,0.5591304677102942,0.2207363444650138,0.18792569232277928,0.22914104342028715,0.34562132976836246,0.3276437895851367,0.34028709782923267,0.5762004555188153,0.5298195898171246,0.24206739049875114,1.0,0.4967635739811052,0.44604584047057355
Global_ASX200_Index,0.3140967728571576,0.3572422492942098,0.3269674771264445,0.34290927024064416,0.49370651531959026,0.31159792883377446,0.2590689379865038,0.3280481930282084,0.40649793050499894,0.3438399272120737,0.36609912662606914,0.48818336487242353,0.39641882627198954,0.1904285807093959,0.4967635739811052,1.0,0.3869242646072257
Global_SENSEX_Index,0.3910001883640679,0.515754058702933,0.37126179431799583,0.32590027948805805,0.5012454843564801,0.2909312838904129,0.24175058263185759,0.2944247277478156,0.43603326066852877,0.4265699132701407,0.44682794371294415,0.3354685753277578,0.3842303590812308,0.12293208031403074,0.44604584047057355,0.3869242646072257,1.0
