,US_CPI,FED_RATE,US_10Y,US_2Y,VIX,US_DOLLAR,US_M2,US_INDPRO,US_UNRATE,US_RETAIL
2014-12-01,236.252,0.12,,,,,11701.9,103.6151,5.6,438509.0
2015-01-01,234.747,0.11,,,,,11774.2,102.7923,5.7,436125.0
2015-02-01,235.342,0.11,,,,,11880.4,102.1366,5.5,435450.0
2015-03-01,235.976,0.11,,,,,11892.9,101.7869,5.4,441895.0
2015-04-01,236.222,0.12,1.87,0.55,15.11,107.06,11932.5,101.2255,5.4,442967.0
2015-05-01,237.001,0.12,2.12,0.6,12.7,105.6382,11963.8,100.7675,5.6,446114.0
2015-06-01,237.657,0.13,2.19,0.64,13.97,107.2238,12011.1,100.4588,5.3,446572.0
2015-07-01,238.034,0.13,2.43,0.69,16.09,107.0101,12061.1,101.0893,5.2,450143.0
2015-08-01,238.033,0.14,,,,,12110.8,100.9165,5.1,450168.0
2015-09-01,237.498,0.14,2.17,0.7,31.4,110.4506,12170.3,100.633,5.0,448090.0
2015-10-01,237.733,0.12,2.05,0.64,22.55,111.0439,12211.2,100.1563,5.0,446905.0
2015-11-01,238.017,0.12,,,,,12301.0,99.4366,5.1,448738.0
2015-12-01,237.761,0.24,2.15,0.91,14.67,112.1134,12361.5,98.9471,5.0,450598.0
2016-01-01,237.652,0.34,,,,,12490.8,99.4391,4.8,447376.0
2016-02-01,237.336,0.38,1.97,0.81,19.98,115.3331,12557.6,98.9232,4.9,451898.0
2016-03-01,238.08,0.36,1.83,0.85,17.7,113.9265,12620.2,98.1635,5.0,450462.0
2016-04-01,238.992,0.37,1.79,0.76,13.1,110.2977,12703.7,98.4775,5.1,452238.0
2016-05-01,239.557,0.37,,,,,12775.9,98.2549,4.8,453898.0
2016-06-01,240.222,0.38,1.85,0.91,14.2,112.462,12841.1,98.7315,4.9,458711.0
2016-07-01,240.101,0.39,1.46,0.59,14.77,111.6509,12902.2,98.8452,4.8,457894.0
2016-08-01,240.545,0.4,1.51,0.67,12.44,111.9757,12988.9,98.7427,4.9,458375.0
2016-09-01,241.176,0.4,1.57,0.78,13.48,112.1733,13047.9,98.6552,5.0,461400.0
2016-10-01,241.741,0.4,,,,,13112.8,98.7237,4.9,462362.0
2016-11-01,242.026,0.41,1.83,0.83,18.56,113.9915,13182.4,98.3443,4.7,462231.0
2016-12-01,242.637,0.54,2.45,1.14,14.07,117.6642,13215.3,99.0406,4.7,467852.0
2017-01-01,243.618,0.65,,,,,13286.4,98.8158,4.7,473019.0
2017-02-01,244.006,0.66,2.48,1.22,11.81,116.3914,13351.2,98.4356,4.6,472945.0
2017-03-01,243.892,0.79,2.46,1.29,12.54,116.438,13420.1,99.0492,4.4,472149.0
2017-04-01,244.193,0.9,,,,,13481.0,100.0416,4.4,473986.0
2017-05-01,244.004,0.91,2.33,1.28,10.11,114.5921,13539.7,100.128,4.4,471630.0
2017-06-01,244.163,1.04,2.21,1.28,9.89,113.3017,13564.1,100.337,4.3,473546.0
2017-07-01,244.243,1.15,,,,,13628.9,100.0865,4.3,473552.0
2017-08-01,245.183,1.16,2.26,1.34,10.09,109.8495,13688.0,99.6323,4.4,474449.0
2017-09-01,246.435,1.15,2.16,1.35,10.13,109.0504,13733.8,99.7482,4.3,484163.0
2017-10-01,246.626,1.15,,,,,13788.5,100.9893,4.2,484848.0
2017-11-01,247.284,1.16,2.37,1.61,10.2,111.7942,13814.7,101.2493,4.2,490013.0
2017-12-01,247.805,1.3,2.37,1.78,11.43,110.1413,13860.3,101.4871,4.1,492579.0
2018-01-01,248.859,1.41,,,,,13869.2,101.4852,4.0,490426.0
2018-02-01,249.529,1.42,2.78,2.16,13.47,106.4877,13907.3,101.7319,4.1,493334.0
2018-03-01,249.577,1.51,2.81,2.22,22.47,108.5357,13966.4,102.1943,4.0,493022.0
2018-04-01,250.227,1.69,,,,,13989.3,103.3551,4.0,494498.0
2018-05-01,250.792,1.7,2.97,2.5,15.49,109.7437,14055.7,102.381,3.8,500930.0
2018-06-01,251.018,1.82,2.89,2.47,13.46,111.8253,14117.5,103.2256,4.0,499218.0
2018-07-01,251.214,1.91,,,,,14157.0,103.3561,3.8,502255.0
2018-08-01,251.663,1.91,3.0,2.67,13.15,112.8897,14206.0,104.0585,3.8,501962.0
2018-09-01,252.182,1.95,,,,,14238.2,104.1038,3.7,500033.0
2018-10-01,252.772,2.19,3.09,2.82,12.0,113.8227,14248.1,103.9297,3.8,505622.0
